Business,Contact,Email,Phone,Website,Specialty,Source,Status,Notes
LA General Builders,,lageneralbuilders@gmail.com,818-741-5451,lagbs.com,GC / ADU / seismic retrofit,Google,new,Email confirmed from website
Greg Sylvis General Contractor,Greg Sylvis,gregsylvis@gmail.com,626-449-6118,gregsylvis.com,GC / seismic retrofit,Google,new,Pasadena - License #443627
1800 Estimating,,plans.1800estimating@gmail.com,,1800estimating.com,Estimating services,Google,new,Estimating firm - potential power user
99 California Estimators,,hey@99californiaestimators.us,,99californiaestimators.us,Estimating services,Google,new,CA-wide estimating firm
Nedes Estimating,,info@nedesestimating.com,708-381-0900,nedesestimating.com,Estimating services,Google,new,Uses PlanSwift/Bluebeam - direct competitor user
GCLA - General Contractor LA,,info@generalcontractorlosangeles.org,310-907-7749,generalcontractorlosangeles.org,GC commercial + residential,Yelp/Houzz,new,30 years experience - Santa Monica office
LAGC,,info@generalcontractorlosangeles.net,424-453-7821,generalcontractorlosangeles.net,GC / custom home,Google,new,Custom home building
Plaskoff Construction,,info@plaskoff.com,818-888-4130,plaskoff.com,GC / remodeling,Google,new,Van Nuys - established firm
Supreme Remodeling,,info@supremeremodelinginc.com,888-558-8394,supremeremodelinginc.com,Remodeling,Google,new,Van Nuys - 204 Yelp reviews - 30+ years
RL Remodeling,,info@rl-remodeling.com,888-324-1144,rl-remodeling.com,Remodeling / ADU,Google,new,Woodland Hills - kitchen bath ADU - multi-location
Southland Remodeling,,info@southlandremodeling.com,,southlandremodeling.com,Remodeling,Yelp,new,Sherman Oaks - 128 Yelp reviews - 25 years - 5-star
IND Construction,,info@indconstruction.com,,indconstruction.com,GC / remodeling,Yelp,new,Encino - family-owned - 131 Yelp reviews - boutique builder
Preferred Home Builders,,info@friendlycontractor.com,,friendlycontractor.com,GC / home building,Yelp,new,Canoga Park - 558 Yelp reviews - kitchen bath ADU garage
Rex General Contractor,,info@rexgc.com,213-674-9443,rexgc.com,GC,Yelp,new,Chinatown - 133 reviews - residential + commercial
Drexel Luxury Homes,,info@drexelluxuryhomes.com,,drexelluxuryhomes.com,Luxury home builder,Google,new,W Pico Blvd - 400+ luxury properties - founded 2009
World Estimating,,info@worldestimating.com,347-480-1903,worldestimating.com,Estimating services,Google,new,HQ Bronx NY serves LA - 24-48hr turnaround - power user
Joel & Co Construction,,joelandcompany@gmail.com,,losangelesgeneralcontractor.com,GC / custom home,Google,new,San Vicente - founded 1983 - 50+ years - licensed PE
Waconah Construction,Christine Mulhern,info@waconahconstruction.com,,waconahconstruction.com,Luxury custom home,Google,new,Venice - Abbot Kinney - #1 Houzz - 15+ years
Lenax Construction,,info@lenax.com,,lenax.com,Cost estimating consulting,Google,new,Estimating firm - works with design teams
AP Remodeling,,info@apremodelinginc.com,,apremodelinginc.com,GC / remodeling,Google,new,Culver City - 115 Yelp reviews - very responsive
Calcons,,Info@calconsco.com,,calconsco.com,GC / new construction / ADU,Houzz,new,LA 90045 - new construction ADU remodeling TI
GC PRO LA,,(contact form),,gcprola.com,GC,Google,new,Use contact form at gcprola.com
Oasis Builders,,(contact form),310-425-3057,oasisbuildersinc.com,Remodeling,Google,new,Call for email
So Cal Builders & Design,,(contact form),888-877-1585,mysocalbuilders.com,GC / remodeling,Google,new,Call for email
Pride Construction & Remodeling,,(contact form),818-588-5258,remodelwithpride.com,GC / remodeling,Yelp,new,Try info@remodelwithpride.com
LA General Construction,,(contact form),323-603-1408,la-gc.com,GC,Yelp,new,El Sereno - call or Facebook/Instagram
G G Construction,,,,GC,Yelp,new,Downtown LA - small operation - call 323-363-7034
California Pros Construction,,(contact form),818-322-4032,calprosconstruction.com,GC / ADU / cabinetry,Houzz,new,Chatsworth - family-owned 25+ years
SoCal Contractor,Roy Yerushalmi,(contact form),,socalcontractor.com,GC,Houzz,new,West LA - try roy@socalcontractor.com - #1 Houzz 4 years
Landmark Builders LA,,(contact form),,landmarkbuildersla.com,GC / luxury,Google,new,Founded 1989 - visit contact page
